作品 ID，名称，作者，发布日期，类型，播放量，点赞数，当前状态，热度，代码
2710，「塔萨达练枪房」最强全图全能练枪！【附视频】,执行官塔萨达，2026-03-13，技能训练，42516,498，正常，498.2,42516
2793，海克斯乱斗，Drapion,2026-03-06，娱乐，35000,293，正常，292.6,MH56D
2301，漓江塔 1v1【附视频】,莲心雾，2025-05-22，竞技，34204,199，正常，199.2,34204
2768，向僵尸开炮 看见啥就是啥【附视频】,莱因哈哈哈哈哈特，2025-12-11，娱乐，28000,189，正常，188.5,7SZQP
2669，随机小游戏合集，傲娇青冥君，2025-08-18，娱乐，22000,153，正常，153.2,672AV
2672，麦克雷跑酷 - 埃斯佩兰萨，葫芦葫芦狗，2025-08-21，娱乐，9500,31，正常，30.9,0A1NE
2826，镇魂街 PVE，暴躁的三三，2026-03-20，娱乐，9000,42，正常，41.8,5XXWT
2821，猫猫竞速，随风飘姚#5337,2026-03-17，娱乐，8500,55，正常，55.0,97DSY
2822，搜打撤模式，超好玩，初春雪风起，2026-03-16，娱乐，8000,45，正常，45.0,EQF6M
2828，宝石迷阵，夏，2026-03-23，娱乐，7500,35，正常，34.8,2TG1CW
2830，地图工坊多功能练枪，du-ers,2026-03-26，技能训练，7000,30，正常，29.6,PSG11
2813，《行动代号》聚会猜词桌游 2.0,DDDennis#5236,2026-04-07，娱乐，6500,27，正常，27.1,FWMSK
2333，工坊练枪 VAXTA 改，莉莉拉 Lilila,2026-04-06，技能训练，6000,14，正常，13.5,W7HFZ
2824，各类英雄跑酷代码大全，绫，2026-03-19，娱乐，5500,29，正常，29.4,N6N6Q
2823，密室虾仁 | 重置更新版|,招财进宝无理哥#5951,2026-03-16，娱乐，5000,39，正常，38.5,4Y79G
2462，仓鼠跑酷编辑器，replicator,2026-03-16，娱乐，4800,20，正常，20.4,11NXY
2820，超级好玩托比昂入门跑酷教学图 5spwe，球球大王 123,2026-03-14，技能训练，4500,18，正常，17.7,5SPWE
2825，无理的挂机房，招财进宝无理哥#5951,2026-03-20，技能训练，4200,7，正常，7.1,VT8KV
2829，猫猫混战魔改版，用户 69c3a7b5a97b7,2026-03-25，娱乐，4000,12，正常，11.7,5ZAGE
2832，老年一拳自改，Forget_淡忘，2026-04-01，技能训练，3800,5，正常，5.2,04YGG
2835，恋爱模拟~休闲挂机，晚风轻起时，2026-04-06，娱乐，3500,7，正常，7.3,DEHA2
2834，守望回合制战斗，我们的青春#51269,2026-04-02，娱乐，3200,17，正常，16.6,8E5MQ
2833，斗破苍穹，我们的青春#51269,2026-04-02，叙事，3000,11，正常，10.8,37PKD
2831，文明战争 3.1 老图翻新，我们的青春#51269,2026-03-31，竞技，2800,19，正常，18.8,M1H0D
2001，终极练枪圣地 v1，练枪大师，2023-05-15，技能训练，45000,450，正常，450.0,A1B2C
2002，守望先锋大乱斗 v1，乱斗之王，2022-08-20，娱乐，42000,420，正常，420.0,D3E4F
2003,1V1 竞技场 v1，竞技达人，2021-03-10，竞技，40000,400，正常，400.0,G5H6I
2004，跑酷挑战赛 v1，跑酷高手，2023-11-05，娱乐，38000,380，正常，380.0,J7K8L
2005,BOSS rush 挑战 v1，副本专家，2022-06-18，娱乐，36000,360，正常，360.0,M9N0O
2006，终极练枪圣地 v2，练枪大师，2024-02-28，技能训练，34000,340，正常，340.0,P1Q2R
2007，守望先锋大乱斗 v2，乱斗之王，2023-09-12，娱乐，32000,320，正常，320.0,S3T4U
2008,1V1 竞技场 v2，竞技达人，2022-12-25，竞技，30000,300，正常，300.0,V5W6X
2009，跑酷挑战赛 v2，跑酷高手，2024-04-01，娱乐，28000,280，正常，280.0,Y7Z8A
2010,BOSS rush 挑战 v2，副本专家，2023-07-14，娱乐，26000,260，正常，260.0,B9C0D
2011，终极练枪圣地 v3，练枪大师，2025-01-20，技能训练，24000,240，正常，240.0,E1F2G
2012，守望先锋大乱斗 v3，乱斗之王，2024-06-08，娱乐，22000,220，正常，220.0,H3I4J
2013,1V1 竞技场 v3，竞技达人，2023-03-22，竞技，20000,200，正常，200.0,K5L6M
2014，跑酷挑战赛 v3，跑酷高手，2022-10-30，娱乐，19000,190，正常，190.0,N7O8P
2015,BOSS rush 挑战 v3，副本专家，2024-08-15，娱乐，18000,180，正常，180.0,Q9R0S
2016，终极练枪圣地 v4，练枪大师，2023-12-05，技能训练，17000,170，正常，170.0,T1U2V
2017，守望先锋大乱斗 v4，乱斗之王，2022-05-18，娱乐，16000,160，正常，160.0,W3X4Y
2018,1V1 竞技场 v4，竞技达人，2024-01-28，竞技，15500,155，正常，155.0,Z5A6B
2019，跑酷挑战赛 v4，跑酷高手，2023-08-10，娱乐，15000,150，正常，150.0,C7D8E
2020,BOSS rush 挑战 v4，副本专家，2022-11-22，娱乐，14500,145，正常，145.0,F9G0H
2021，终极练枪圣地 v5，练枪大师，2024-04-15，技能训练，14000,140，正常，140.0,I1J2K
2022，守望先锋大乱斗 v5，乱斗之王，2023-07-28，娱乐，13500,135，正常，135.0,L3M4N
2023,1V1 竞技场 v5，竞技达人，2022-02-14，竞技，13000,130，正常，130.0,O5P6Q
2024，跑酷挑战赛 v5，跑酷高手，2024-09-05，娱乐，12500,125，正常，125.0,R7S8T
2025,BOSS rush 挑战 v5，副本专家，2023-06-18，娱乐，12000,120，正常，120.0,U9V0W
3001，团队配合训练 1，团队指挥，2023-04-10，技能训练，18000,95，正常，95.0,X1Y2Z
3002，休闲小遊戲 1，游戏制作人，2022-09-22，娱乐，17000,90，正常，90.0,A3B4C
3003，剧情体验图 1，剧情大师，2024-01-05，叙事，16000,85，正常，85.0,D5E6F
3004，战术演练场 1，战术专家，2023-06-18，竞技，15000,80，正常，80.0,G7H8I
3005，团队配合训练 2，团队指挥，2022-11-30，技能训练，14000,75，正常，75.0,J9K0L
3006，休闲小遊戲 2，游戏制作人，2024-03-12，娱乐，13000,70，正常，70.0,M1N2O
3007，剧情体验图 2，剧情大师，2023-08-25，叙事，12000,65，正常，65.0,P3Q4R
3008，战术演练场 2，战术专家，2022-05-08，竞技，11000,60，正常，60.0,S5T6U
3009，团队配合训练 3，团队指挥，2024-07-20，技能训练，10500,58，正常，58.0,V7W8X
3010，休闲小遊戲 3，游戏制作人，2023-02-14，娱乐，10000,55，正常，55.0,Y9Z0A
3011，剧情体验图 3，剧情大师，2022-10-28，叙事，9500,52，正常，52.0,B1C2D
3012，战术演练场 3，战术专家，2024-05-10，竞技，9000,50，正常，50.0,E3F4G
3013，团队配合训练 4，团队指挥，2023-12-22，技能训练，8800,53，正常，53.0,H5I6J
3014，休闲小遊戲 4，游戏制作人，2022-07-05，娱乐，8600,54，正常，54.0,K7L8M
3015，剧情体验图 4，剧情大师，2024-02-18，叙事，8400,51，正常，51.0,N9O0P
3016，战术演练场 4，战术专家，2023-09-30，竞技，8200,52，正常，52.0,Q1R2S
3017，团队配合训练 5，团队指挥，2022-04-12，技能训练，8000,50，正常，50.0,T3U4V
3018，休闲小遊戲 5，游戏制作人，2024-06-25，娱乐，7800,51，正常，51.0,W5X6Y
3019，剧情体验图 5，剧情大师，2023-01-08，叙事，7600,50，正常，50.0,Z7A8B
3020，战术演练场 5，战术专家，2022-08-20，竞技，7400,50，正常，50.0,C9D0E
3021，团队配合训练 6，团队指挥，2024-03-05，技能训练，7200,52，正常，52.0,F1G2H
3022，休闲小遊戲 6，游戏制作人，2023-10-18，娱乐，7000,51，正常，51.0,I3J4K
3023，剧情体验图 6，剧情大师，2022-05-30，叙事，6800,50，正常，50.0,L5M6N
3024，战术演练场 6，战术专家，2024-08-12，竞技，6600,50，正常，50.0,O7P8Q
4001，新手练习图 1，新人作者，2023-03-15，技能训练，4500,45，正常，45.0,R9S0T
4002，创意工坊测试 1，测试员，2022-10-28，娱乐，4200,42，正常，42.0,U1V2W
4003，小型冒险 1，独立开发者，2024-01-10，叙事，4000,40，正常，40.0,X3Y4Z
4004，趣味小游戏 1，休闲玩家，2023-06-22，娱乐，3800,38，正常，38.0,A5B6C
4005，新手练习图 2，新人作者，2022-09-05，技能训练，3600,36，正常，36.0,D7E8F
4006，创意工坊测试 2，测试员，2024-04-18，娱乐，3400,34，正常，34.0,G9H0I
4007，小型冒险 2，独立开发者，2023-11-30，叙事，3200,32，正常，32.0,J1K2L
4008，趣味小游戏 2，休闲玩家，2022-06-12，娱乐，3000,30，正常，30.0,M3N4O
4009，新手练习图 3，新人作者，2024-02-25，技能训练，2800,28，正常，28.0,P5Q6R
4010，创意工坊测试 3，测试员，2023-07-08，娱乐，2600,26，正常，26.0,S7T8U
4011，小型冒险 3，独立开发者，2022-12-20，叙事，2400,24，正常，24.0,V9W0X
4012，趣味小游戏 3，休闲玩家，2024-05-05，娱乐，2200,22，正常，22.0,Y1Z2A
4013，新手练习图 4，新人作者，2023-02-18，技能训练，2000,20，正常，20.0,B3C4D
4014，创意工坊测试 4，测试员，2022-09-30，娱乐，1800,18，正常，18.0,E5F6G
4015，小型冒险 4，独立开发者，2024-06-12，叙事，1600,16，正常，16.0,H7I8J
4016，趣味小游戏 4，休闲玩家，2023-01-25，娱乐，1400,14，正常，14.0,K9L0M
4017，新手练习图 5，新人作者，2022-08-08，技能训练，1200,12，正常，12.0,N1O2P
4018，创意工坊测试 5，测试员，2024-03-20，娱乐，1000,10，正常，10.0,Q3R4S
4019，小型冒险 5，独立开发者，2023-10-05，叙事，900,9，正常，9.0,T5U6V
4020，趣味小游戏 5，休闲玩家，2022-05-18，娱乐，800,8，正常，8.0,W7X8Y
4021，新手练习图 6，新人作者，2024-07-30，技能训练，700,7，正常，7.0,Z9A0B
4022，创意工坊测试 6，测试员，2023-04-12，娱乐，600,6，正常，6.0,C1D2E
4023，小型冒险 6，独立开发者，2022-11-25，叙事，500,5，正常，5.0,F3G4H
4024，趣味小游戏 6，休闲玩家，2024-08-08，娱乐，400,4，正常，4.0,I5J6K
4025，新手练习图 7，新人作者，2023-05-20，技能训练，350,3.5，正常，3.5,L7M8N
4026，创意工坊测试 7，测试员，2022-02-05，娱乐，300,3，正常，3.0,O9P0Q
4027，小型冒险 7，独立开发者，2024-09-18，叙事，280,2.8，正常，2.8,R1S2T
4028，趣味小游戏 7，休闲玩家，2023-12-30，娱乐，260,2.6，正常，2.6,U3V4W
4029，新手练习图 8，新人作者，2022-07-15，技能训练，240,2.4，正常，2.4,X5Y6Z
4030，创意工坊测试 8，测试员，2024-04-28，娱乐，220,2.2，正常，2.2,A7B8C
